Title,Authors,Abstract,Date,DOI,Source
Insufficient hyperfibrinolysis in COVID-19: a systematic review of thrombolysis based on meta-analysis and meta-regression,"Ji, H.-L. J.; Su, Z.; Zhao, R.; Komissarov, A. A.; Yi, G.; Liu, S.-L.; Idell, S.; Matthay, M. A.","BackgroundHow aberrant fibrinolysis influences the clinical progression of COVID-19 presents a clinicopathological dilemma challenging intensivists. To investigate whether abnormal fibrinolysis is a culprit or protector or both, we associated elevated plasma D-dimer with clinical variables to identify a panoramic view of the derangements of fibrinolysis that contribute to the pathogenesis of COVID-19 based on studies available in the literature.

MethodsWe performed this systematic review based on both meta-analysis and meta-regression to compute the correlation of D-dimer at admission with clinical features of COVID-19 patients in retrospective studies or case series. We searched the databases until Aug 18, 2020, with no limitations by language. The first hits were screened, data extracted, and analyzed in duplicate. We did the random-effects meta-analyses and meta-regressions (both univariate and multivariate). D-dimer associated clinical variables and potential mechanisms were schematically reasoned and graphed.

FindingsOur search identified 42 observational, or retrospective, or case series from six countries (n = 14,862 patients) with all races and ages from 1 to 98-year-old. The weighted mean difference of D-dimer was 0.97 g/mL (95% CI 0.65, 1.29) between relatively mild (or healthy control) and severely affected groups with significant publication bias. Univariate meta-regression identified 58 of 106 clinical variables were associated with plasma D-dimer levels, including 3 demographics, 5 comorbidies, 22 laboratory tests, 18 organ injury biomarkers, 8 severe complications, and 2 outcomes (discharge and death). Of these, 11 readouts were negatively associated with the level of plasma D-dimer. Further, age and gender were confounding factors for the identified D-dimer associated variables. There were 22 variables independently correlated with the D-dimer level, including respiratory rate, dyspnea plasma K+, glucose, SpO2, BUN, bilirubin, ALT, AST, systolic blood pressure, and CK. We thus propose that ""insufficient hyperfibrinolysis (fibrinolysis is accelerated but unable to prevent adverse clinical impact for clinical deterioration COVID-19)"" as a peculiar mechanism.

InterpretationThe findings of this meta-analysis- and meta-regression-based systematic review supports elevated D-dimer as an independent predictor for mortality and severe complications. D-dimer-associated clinical variables draw a landscape integrating the aggregate effects of systemically suppressive and locally (i.e., in the lung) hyperactive derangements of fibrinolysis. D-dimer and associated clinical biomarkers and conceptually parameters could be combined for risk stratification, potentially for tracking thrombolytic therapy or alternative interventions.

FundingNational Institute of Health.",2020-09-09,10.1101/2020.09.07.20190165,medRxiv (Preprint)
SARS-CoV-2 Antibody Prevalence and Association with Routine Laboratory Values in a Life Insurance Applicant Population,"Rigatti, S. J.; Stout, R.","Objectives: The prevalence of SARS-CoV-2 antibodies in the general population is largely unknown. Since many infections, even among the elderly and other vulnerable populations, are asymptomatic, the prevalence of antibodies could help determine how far along the path to herd immunity the general population has progressed. Also, in order to clarify the clinical manifestations of current or recent past COVID-19 illness, it may be useful to determine if there are any common alterations in routine clinical laboratory values. Methods: We performed SARS-CoV-2 antibody tests on 50,130 consecutive life insurance applicants who were having blood drawn for the purpose of underwriting (life risk assessment). Subjects were also tested for lipids, liver function tests, renal function studies, as well as serum proteins. Other variables included height, weight, blood pressure at the time of the blood draw, and history of common chronic diseases (hypertension, heart disease, diabetes, and cancer). Results: The overall prevalence of SARS-CoV-2 was 3.0%, and was fairly consistent across the age range and similar in males and females. Several of the routine laboratory tests obtained were significantly different in antibody-positive vs. antibody-negative subjects, including albumin, globulins, bilirubin, and the urine albumin:creatinine ratio. The BMI was also significantly higher in the antibody-positive group. Geographical distribution revealed a very high level of positivity in the state of New York compared to all other areas (17.1%). Using state population data from the US Census, it is estimated that this level of seropositivity would correspond to 6.98 million (99% CI: 6.56-7.38 million) SARS-CoV-2 infections in the US, which is 3.8 times the cumulative number of cases in the US reported to the CDC as of June 1, 2020. Conclusions: The estimated number of total SARS-CoV-2 infections based on positive serology is substantially higher than the total number of cases reported to the CDC. Certain laboratory values, particularly serum protein levels, are associated with positive serology, though these associations are not likely to be clinically meaningful.",2020-09-11,10.1101/2020.09.09.20191296,medRxiv (Preprint)
Insufficient hyperfibrinolysis in COVID-19: a systematic review of thrombolysis based on meta-analysis and meta-regression,"Ji, H.-L. J.; Su, Z.; Zhao, R.; Komissarov, A. A.; Yi, G.; Liu, S.-L.; Idell, S.; Matthay, M. A.","BackgroundHow aberrant fibrinolysis influences the clinical progression of COVID-19 presents a clinicopathological dilemma challenging intensivists. To investigate whether abnormal fibrinolysis is a culprit or protector or both, we associated elevated plasma D-dimer with clinical variables to identify a panoramic view of the derangements of fibrinolysis that contribute to the pathogenesis of COVID-19 based on studies available in the literature.

MethodsWe performed this systematic review based on both meta-analysis and meta-regression to compute the correlation of D-dimer at admission with clinical features of COVID-19 patients in retrospective studies or case series. We searched the databases until Aug 18, 2020, with no limitations by language. The first hits were screened, data extracted, and analyzed in duplicate. We did the random-effects meta-analyses and meta-regressions (both univariate and multivariate). D-dimer associated clinical variables and potential mechanisms were schematically reasoned and graphed.

FindingsOur search identified 42 observational, or retrospective, or case series from six countries (n = 14,862 patients) with all races and ages from 1 to 98-year-old. The weighted mean difference of D-dimer was 0.97 g/mL (95% CI 0.65, 1.29) between relatively mild (or healthy control) and severely affected groups with significant publication bias. Univariate meta-regression identified 58 of 106 clinical variables were associated with plasma D-dimer levels, including 3 demographics, 5 comorbidies, 22 laboratory tests, 18 organ injury biomarkers, 8 severe complications, and 2 outcomes (discharge and death). Of these, 11 readouts were negatively associated with the level of plasma D-dimer. Further, age and gender were confounding factors for the identified D-dimer associated variables. There were 22 variables independently correlated with the D-dimer level, including respiratory rate, dyspnea plasma K+, glucose, SpO2, BUN, bilirubin, ALT, AST, systolic blood pressure, and CK. We thus propose that ""insufficient hyperfibrinolysis (fibrinolysis is accelerated but unable to prevent adverse clinical impact for clinical deterioration COVID-19)"" as a peculiar mechanism.

InterpretationThe findings of this meta-analysis- and meta-regression-based systematic review supports elevated D-dimer as an independent predictor for mortality and severe complications. D-dimer-associated clinical variables draw a landscape integrating the aggregate effects of systemically suppressive and locally (i.e., in the lung) hyperactive derangements of fibrinolysis. D-dimer and associated clinical biomarkers and conceptually parameters could be combined for risk stratification, potentially for tracking thrombolytic therapy or alternative interventions.

FundingNational Institute of Health.",2020-09-11,10.1101/2020.09.07.20190165,medRxiv (Preprint)
Characteristics and influence of type 2 diabetes in cirrhosis ascites with spontaneous bacterial peritonitis,"Zhang, L.; Li, X.; Qi, Y.; Zhao, Y.; Wang, F.; Ma, H.; Qin, X.; Kong, X.; Qi, Z.; Zhang, X.","ObjectiveTo investigate the characteristics and influence of type 2 diabetes in hepatocirrhosis ascites complicated with spontaneous bacterial peritonitis(SBP) to support clinical management of this condition.

MethodsA retrospective study was conducted to collect patients with hepatocirrhosis ascites with hospitalization from January 1, 2016 to June 30, 2019. The patients were classified according to whether they had type 2 diabetes and SBP. Univariate and multivariate binary logistic regression analysis were performed on the data of the two groups.

ResultsA total of 214 patients were enrolled in the study, including 121 males and 93 females; 21 diabetics and 193 non diabetics; 119 SBP patients and 95 control subjects. There were 18 cases of SBP in hepatocirrhosis ascites complicated with diabetes, accounting for 85.7%, which was significantly higher than that in the non-diabetic group. The times of ascites, age and hospitalization days of cirrhotic ascites complicated with diabetes were 2 (1-3) times, 74 (60-76) years old and 25 (15-36) days, respectively, which were significantly higher than those in the non-diabetic group, P < 0.05. Multivariate analysis showed that diabetes, the times of hepatocirrhosis ascites, hospitalization days and total bilirubin (TBIL) increased the independent risk factors of SBP in hepatocirrhosis ascites, with OR values of 5.126 (1.358-19.345), 1.949 (1.428-2.660), 1.028 (1.010-1.047), 1.006 (1.001-1.010), respectively (P < 0.05).

Conclusionthe patients with hepatocirrhosis ascites complicated with diabetes showed older age, longer hospitalization time, more SBP and more ascites; diabetes mellitus, times of ascites, hospitalization days and TBIL increased the risk of SBP in hepatocirrhosis ascites.",2020-09-28,10.1101/2020.09.25.20201798,medRxiv (Preprint)
Conditional Generative Adversarial Networks for Individualized Treatment Effect Estimation and Treatment Selection,"Ge, Q.; Huang, X.; Fang, S.; Guo, S.; Liu, y.; Lin, W.; Xiong, M.","Treatment response is heterogeneous. However the classical methods treat the treatment response as homogeneous and estimate the average treatment effects. The traditional methods are difficult to apply to precision oncology. The artificial intelligence (AI) is a powerful tool for precision oncology. It can accurately estimate the individualized treatment effects and learn optimal treatment choices. Therefore, the AI approach can substantially improve progress and treatment outcomes of patients. As one of AI approach, conditional generative adversarial nets for inference of individualized treatment effects (GANITE) have been developed. However, the GANITE can only deal with binary treatment and does not provide a tool for optimal treatment selection. To overcome these limitations, we modify conditional generative adversarial networks (MCGANs) to allow estimation of individualized effects of any types of treatments including binary, categorical and continuous treatments. We propose to use sparse techniques for selection of biomarkers that predict the best treatment for each patient. Simulations show that the CGANs outperform seven other state-of-the-art methods: linear regression (LR), Bayesian linear ridge regression (BLR), KNN, random forest classification (RF (C)), random forest regression (RF (R)), logistic regression (LogR) and support vector machine (SVM). To illustrate their applications, the proposed CGANs were applied to 256 patients with newly diagnosed acute myeloid leukemia (AML) who were treated with high dose ara-C (HDAC), Idarubicin (IDA) and both of these two treatments (HDAC+IDA) at M. D. Anderson Cancer Center. Our results showed that the MCGAN can more accurately and robustly estimate the individualized treatment effects than other state-of-the art methods. Several biomarkers such as GSK3, BILIRUBIN, SMAC are identified and a total of 30 biomarkers can explain 36.8% of treatment effect variation.",2020-09-29,10.1101/2020.09.28.20203075,medRxiv (Preprint)
Characteristics and influence of type 2 diabetes in cirrhosis ascites with spontaneous bacterial peritonitis,"Zhang, L.; Li, X.; Qi, Y.; Zhao, Y.; Wang, F.; Ma, H.; Qin, X.; Kong, X.; Qi, Z.; Zhang, X.-Y.","ObjectiveTo investigate the characteristics and influence of type 2 diabetes in hepatocirrhosis ascites complicated with spontaneous bacterial peritonitis(SBP) to support clinical management of this condition.

MethodsA retrospective study was conducted to collect patients with hepatocirrhosis ascites with hospitalization from January 1, 2016 to June 30, 2019. The patients were classified according to whether they had type 2 diabetes and SBP. Univariate and multivariate binary logistic regression analysis were performed on the data of the two groups.

ResultsA total of 214 patients were enrolled in the study, including 121 males and 93 females; 21 diabetics and 193 non diabetics; 119 SBP patients and 95 control subjects. There were 18 cases of SBP in hepatocirrhosis ascites complicated with diabetes, accounting for 85.7%, which was significantly higher than that in the non-diabetic group. The times of ascites, age and hospitalization days of cirrhotic ascites complicated with diabetes were 2 (1-3) times, 74 (60-76) years old and 25 (15-36) days, respectively, which were significantly higher than those in the non-diabetic group, P < 0.05. Multivariate analysis showed that diabetes, the times of hepatocirrhosis ascites, hospitalization days and total bilirubin (TBIL) increased the independent risk factors of SBP in hepatocirrhosis ascites, with OR values of 5.126 (1.358-19.345), 1.949 (1.428-2.660), 1.028 (1.010-1.047), 1.006 (1.001-1.010), respectively (P < 0.05).

Conclusionthe patients with hepatocirrhosis ascites complicated with diabetes showed older age, longer hospitalization time, more SBP and more ascites; diabetes mellitus, times of ascites, hospitalization days and TBIL increased the risk of SBP in hepatocirrhosis ascites.",2020-09-30,10.1101/2020.09.25.20201798,medRxiv (Preprint)
Characteristics and influence of type 2 diabetes in cirrhosis ascites with spontaneous bacterial peritonitis,"Zhang, L.; Li, X.; Qi, Y.; Zhao, Y.; Wang, F.; Ma, H.; Qin, X.; Kong, X.; Qi, Z.; Zhang, X.-Y.","ObjectiveTo investigate the characteristics and influence of type 2 diabetes in hepatocirrhosis ascites complicated with spontaneous bacterial peritonitis(SBP) to support clinical management of this condition.

MethodsA retrospective study was conducted to collect patients with hepatocirrhosis ascites with hospitalization from January 1, 2016 to June 30, 2019. The patients were classified according to whether they had type 2 diabetes and SBP. Univariate and multivariate binary logistic regression analysis were performed on the data of the two groups.

ResultsA total of 214 patients were enrolled in the study, including 121 males and 93 females; 21 diabetics and 193 non diabetics; 119 SBP patients and 95 control subjects. There were 18 cases of SBP in hepatocirrhosis ascites complicated with diabetes, accounting for 85.7%, which was significantly higher than that in the non-diabetic group. The times of ascites, age and hospitalization days of cirrhotic ascites complicated with diabetes were 2 (1-3) times, 74 (60-76) years old and 25 (15-36) days, respectively, which were significantly higher than those in the non-diabetic group, P < 0.05. Multivariate analysis showed that diabetes, the times of hepatocirrhosis ascites, hospitalization days and total bilirubin (TBIL) increased the independent risk factors of SBP in hepatocirrhosis ascites, with OR values of 5.126 (1.358-19.345), 1.949 (1.428-2.660), 1.028 (1.010-1.047), 1.006 (1.001-1.010), respectively (P < 0.05).

Conclusionthe patients with hepatocirrhosis ascites complicated with diabetes showed older age, longer hospitalization time, more SBP and more ascites; diabetes mellitus, times of ascites, hospitalization days and TBIL increased the risk of SBP in hepatocirrhosis ascites.",2020-10-02,10.1101/2020.09.25.20201798,medRxiv (Preprint)
"Epidemiological, clinical, and laboratory findings for patients of different age groups with confirmed coronavirus disease 2019 (COVID-19) in a hospital in Saudi Arabia","Ibrahim, M. E.; AL-Aklobi, O. S.; Abomughaid, M. M.; Al-Ghamdi, M. A.","BackgroundAlthough the coronavirus disease 2019 (COVID-19) pandemic continues to rage worldwide, clinical and laboratory studies of this disease have been limited in many countries. We investigated the epidemiologic, clinical, and laboratory findings of COVID-19 infected patients to identify the effective indicators correlated with the disease.

MethodsA retrospective study was conducted at King Abdullah Hospital in Bisha Province, Saudi Arabia, from March 20 to June 30, 2020. Patients of different age groups were confirmed as having COVID-19 infection using a real-time polymerase chain reaction. The demographic, clinical, and laboratory data of the patients were statistically analyzed.

ResultsOf the 137 patients, 88 were male and 49 were female, with a mean age of 49.3 years (SD{+/-}18.4). The patients were elderly (n=29), adults (n=103), and children (n=5). Of these, 54 (39.4%) had comorbidities, 24% were admitted to the intensive care unit (ICU), and 12 (8.8%) died. On admission, the main clinical manifestations were fever (82.5%), cough (63.5%), shortness of breath (24.8%), chest pain (19.7%), and fatigue (18.2%).

In all patients, increased neutrophils and decreased lymphocytes were observed. Patients lactate dehydrogenase (LDH) was elevated. C-reactive protein (CRP) was elevated in 46.7%, D-dimer in 41.6%, and the erythrocyte sedimentation rate (ESR) in 39.4% of patients. The elderly showed higher neutrophil (p=0.003) and lower lymphocyte (p=0.001) counts than adults and children. Glucose, creatine kinase-MB, LDH, bilirubin, D-dimer, and ESR were significantly higher in the elderly than in the adults. The COVID-19 death group had a higher leucocyte count (p = 0.043), and higher urea (p=0.025) and potassium (p=0.026) than the recovered group but had a lower hemoglobin concentration (p=0.018). A significant association was determined between COVID-19 death ({chi}2(1)=17.751, p<0.001), and the presence of cardiovascular disease ({chi}2(1)=17.049, p<0.001), hypertension ({chi}2(1)=7.659, p=0.006), renal failure ({chi}2(1)=4.172, p<0.04), old age (t(135) = 4.747, p <0.001), and ICU admission ({chi}2(1) = 17.751 (1), p<0.001).

ConclusionsThe common symptoms found in this study could be useful for identifying potential COVID-19 patients. Investigating some of the laboratory and clinical parameters could help assess the disease progression, risk of mortality, and follow up patients who could progress to a fatal condition.",2020-10-25,10.1101/2020.10.21.20217083,medRxiv (Preprint)
"Validating the RISE UP score for predicting prognosis in patients with COVID-19 in the emergency department, a retrospective study","van Dam, P. M. E. L.; Zelis, N.; Stassen, P. M.; van Twist, D. J. L.; de Leeuw, P. W.; Buijs, J.","ObjectiveTo mitigate the burden of COVID-19 on the healthcare system, information on the prognosis of the disease is needed. The recently developed RISE UP score has very good discriminatory value with respect to short-term mortality in older patients in the emergency department (ED). It consists of six items: age, abnormal vital signs, albumin, blood urea nitrogen (BUN), lactate dehydrogenase (LDH), and bilirubin. We hypothesized that the RISE UP score could have discriminatory value with regard to 30-day mortality in ED patients with COVID-19.

SettingTwo EDs of the Zuyderland Medical Centre (MC), secondary care hospital in the Netherlands.

ParticipantsThe study sample consisted of 642 adult ED patients diagnosed with COVID-19 between March 3rd until May 25th 2020. Inclusion criteria were: 1) admission to the hospital with symptoms suggestive of COVID-19, and 2) positive result of the polymerase chain reaction (PCR), or (very) high suspicion of COVID-19 according to the chest computed tomography (CT) scan.

OutcomePrimary outcome was 30-day mortality, secondary outcome was a composite of 30-day mortality and admission to intensive care unit (ICU).

ResultsWithin 30 days after presentation, 167 patients (26.0%) died and 102 patients (15.9%) were admitted to ICU. The RISE UP score showed good discriminatory value with respect to 30-day mortality (AUC 0.77, 95% CI 0.73-0.81), and to the composite outcome (AUC 0.72, 95% CI 0.68-0.76). Patients with RISE UP scores below 10% (121 patients) had favourable outcome (0% mortality and 5% ICU admissions). Patients with a RISE UP score above 30% (221 patients) were at high risk of adverse outcome (46.6% mortality and 19% ICU admissions).

ConclusionThe RISE UP score is an accurate prognostic model for adverse outcome in ED patients with COVID-19. It can be used to identify patients at risk of short-term adverse outcome, and may help guiding decision-making and allocating healthcare resources.",2020-11-24,10.1101/2020.11.23.20236786,medRxiv (Preprint)
Lower blood lactate and higher circulating natural killer cells at admission predict spontaneous survival in non-acetaminophen induced acute Liver failure,"Agrawal, T.; Maiwall, R.; V, R.; Bajpai, M.; Jagdish, R. K.; Sarin, S. K.; Trehanpati, N.","Background and AimsMassive cellular necrosis in ALF is dominantly immune mediated and innate immune cells are major pathophysiological determinants in liver damage. Our aim was to investigate specific innate immune cells or damage associated molecular patterns (DAMPs) relating to the final outcome of patient.

MethodsIn fifty ALF patients and in fifteen age-matched healthy controls (HC), DAMPs were measured in plasma using ELISA. Phenotypic analysis of neutrophils, monocytes, natural killer (NK) and NKT cells was done by flow-cytometry and correlated with clinical and biochemical parameters.

ResultsALF patients (aged 27{+/-}9 yr, 56% males, 78% viral etiology) had MELD of 31.5{+/-}8, jaundice to hepatic encephalopathy (HE) of 4.6{+/-}3.2 days, HE grade III-IV, 82% with cerebral edema, 38% met KCH criteria, 56% had suspected sepsis. Percentage of intermediate monocytes (CD14+CD16+) was increased (p<0.01) and non-classical monocytes (CD14-CD16+) was decreased in ALF compared to HC. CD16+CD56+ NK cells in total lymphocytes was significantly lower in ALF patients compared to HC, but was higher in survivors {9.28% (0.5-20.3)} than non-survivors {5.1% (0.2-10.6)} (p<0.001). Higher percentage of circulating NK cells (>6.7%) at admission was a good predictor of survival. Non-survivors had higher levels of serum lactate (6.1 vs. 28, Odds ratio 2.23, CI 1.27-3.94) and granzymeB positive NK cells than survivors. Logistic regression model predicted the combination of lactate levels with NK cell percentage at admission for survival (AUROC of 0.94; sensitivity 95.8%, specificity of 78.5%).

ConclusionCombination of NK cell frequency and lactate levels at admission can reliably predict survival of ALF patients.

KEY POINTSO_LIALF is generally immune mediated and predominantly caused by viral infections or acetaminophen toxicity.
C_LIO_LITherapeutic options are limited in ALF, important to know key immune players for their survival.
C_LIO_LICD16+CD56+ NK cells were found to be higher in survivors than non survivors.
C_LIO_LICombination of lactate levels with NK cell percentage at the time of admission can reliably predict the survival of ALF patients.
C_LI",2020-11-30,10.1101/2020.11.27.20239731,medRxiv (Preprint)
Setting a course for preventing hepatitis E in low and lower-middle-income countries: A systematic review of burden and risk factors,"Koyuncu, A.; Mapemba, D.; Ciglenecki, I.; Gurley, E. S.; Azman, A. S.","BackgroundHepatitis E virus is responsible for outbreaks of acute jaundice in Africa and Asia, many of which occur among displaced people or in crisis settings. While an efficacious vaccine for HEV has been developed, we lack key epidemiologic data needed to understand how best to use the vaccine for hepatitis E control in endemic countries.

MethodsWe conducted a systematic review of articles published on hepatitis E in low and lower-middle-income countries (LMIC) in Africa and Asia. We searched PubMed, Scopus, and Embase databases to identify articles with data on anti-HEV IgG seroprevalence, outbreaks of HEV, or risk factors for HEV infection, disease, or death, and all relevant data were extracted. Using these data we describe the evidence around temporal and geographical distribution of HEV transmission and burden. We estimated pooled age-specific seroprevalence and assessed the consistency in risk factor estimates.

ResultsWe extracted data from 148 studies. Studies assessing anti-HEV IgG antibodies used 18 different commercial assays. Most cases of hepatitis E during outbreaks were not confirmed. Risk factor data suggested an increased likelihood of current or recent HEV infection and disease associated with fecal-oral transmission of HEV, as well as exposures to blood and animals.

ConclusionHeterogeneity in diagnostic assays used and exposure and outcome assessment methods hinder public health efforts to quantify burden of disease and evaluate interventions over time and space. Prevention tools such as vaccines are available, but require a unified global strategy for hepatitis E control to justify widespread use.",2020-11-30,10.1101/2020.11.27.20239715,medRxiv (Preprint)
SARS-CoV-2 recruits a haem metabolite to evade antibody immunity,"Rosa, A.; Pye, V. E.; Graham, C.; Muir, L.; Seow, J.; Ng, K. W.; Cook, N. J.; Rees-Spear, C.; Parker, E.; dos Santos, M. S.; Rosadas, C.; Susana, A.; Rhys, H.; Nans, A.; Masino, L.; Roustan, C.; Christodoulou, E.; Ulferts, R.; Wrobel, A.; Short, C.-E.; Fertleman, M.; Sanders, R. W.; Heaney, J.; Spyer, M.; Kjaer, S.; Riddell, A.; Malim, M. H.; Beale, R.; MacRae, J. I.; Taylor, G. P.; Nastouli, E.; van Gils, M. J.; Rosenthal, P. B.; Pizzato, M.; McClure, M. O.; Tedder, R. S.; Kassiotis, G.; McCoy, L. E.; Doores, K. J.; Cherepanov, P.","The coronaviral spike is the dominant viral antigen and the target of neutralizing antibodies. We show that SARS-CoV-2 spike binds biliverdin and bilirubin, the tetrapyrrole products of haem metabolism, with nanomolar affinity. Using cryo-electron microscopy and X-ray crystallography we mapped the tetrapyrrole interaction pocket to a deep cleft on the spike N-terminal domain (NTD). At physiological concentrations, biliverdin significantly dampened the reactivity of SARS-CoV-2 spike with immune sera and inhibited a subset of neutralizing antibodies. Access to the tetrapyrrole-sensitive epitope is gated by a flexible loop on the distal face of the NTD. Accompanied by profound conformational changes in the NTD, antibody binding requires relocation of the gating loop, which folds into the cleft vacated by the metabolite. Our results indicate that the virus co-opts the haem metabolite for the evasion of humoral immunity via allosteric shielding of a sensitive epitope and demonstrate the remarkable structural plasticity of the NTD.",2021-01-26,10.1101/2021.01.21.21249203,medRxiv (Preprint)
A High-throughput Microsphere-based Immunoassay of Anti-SARS-CoV-2 IgM Testing for COVID-19 Diagnostics,"Zhang, D.; Xu, T.; Chu, E.; Zhang, A.; Du, J.; Sha, M.","The pandemic of novel coronavirus disease COVID-19 is rapidly expanding across the world. A positive result of antibody tests suggests that the individual has potentially been exposed to SARS-CoV-2, thus allowing to identify asymptomatic infections and determine the seroprevalence in a given population. The aim of this study was to evaluate the performances of a newly developed high throughput immunoassay for anti-SARS-CoV-2 IgM antibody detection on the Luminex MAGPIX platform. Clinical agreement studies were performed in 42 COVID-19 patient serum samples and 162 negative donor serum/plasma samples. Positive percent agreement (PPA) was 42.86% (95% CI: 9.90% to 81.59%), 71.43% (95% CI: 29.04% to 96.33%), and 28.57% (95% CI: 13.22% to 48.67%) for samples collected on 0-7 days, 8-14 days, and 2-8 weeks from symptom onset, respectively. Negative Percent Agreement (NPA) was 97.53% (95% CI: 93.80% to 99.32%). There was no cross-reactivity with the SARS-CoV-2 IgG antibody Hemoglobin (200 mg/dL), bilirubin (2 mg/dL), triglyceride (250 mg/dL) and EDTA (10 mM) showed no significant interfering effect on this assay. In conclusion, an anti-SARS-CoV-2 IgM antibody assay with high sensitivity and specificity has been developed. With the high throughput, this assay will speed up the anti-SARS-CoV-2 IgM testing.",2021-01-26,10.1101/2021.01.22.20249050,medRxiv (Preprint)
Barriers to early initiation of breastfeeding in healthy neonates in an urban hospital setting.,"Rubagumya, D. L.; Abeid, M.; Aghan, E.; Noorani, M.","BackgroundBreastfeeding is a key intervention to improve global targets on nutrition, health and survival. The World Health Organization (WHO) recommends early initiation of breastfeeding to prevent infections in the newborn and achieve targets of exclusive breastfeeding for the first six months of life. Early initiation of breastfeeding improves neonatal-maternal bonding, reduces jaundice and prevents gastrointestinal and respiratory tract infections. Global prevalence of early initiation of breastfeeding is 45% and 51% for Tanzania. The recommended prevalence is at least 80% by WHO guidelines.

ObjectiveTo explore barriers to early initiation of breastfeeding in a hospital setting.

MethodsA descriptive exploratory qualitative study with semi-structured individual interviews was employed to explore the barriers to early initiation of breastfeeding in a hospital setting. Three midwives and six mothers were interviewed. The interview topic guide covered experiences and challenges of early initiation of breastfeeding. Data was analyzed using Systematic Text Condensation as described by Malterud.

ResultsParticipants perceived that inadequate breastfeeding information especially on ideal time to start breastfeeding contributed to delayed initiation. The practices and environment post-delivery such as perineal tear repair and dirty labor room prevented women from initiating breastfeeding immediately.

ConclusionsThe barriers identified were related to gaps in knowledge, immediate postpartum practices and individual perceptions of a non-conducive environment.",2021-03-20,10.1101/2021.03.19.21253932,medRxiv (Preprint)
Von Meyenburg Complexes and Malignancy: A Systematic Review,"Sheikh, A. B.; Nguyen, A.; Sheikh, A. A. E.; Javed, N.; Leyba, K.; Shekhar, R.","Von Meyenburg Complexes (VMC) are benign lesions secondary to ductal plate malformations. These are relatively rare in adults and are often asymptomatic, with many lesions being diagnosed on imaging. Despite these benign characteristics, VMC have the potential to undergo malignant changes leading to conditions such as cholangiocarcinoma and other cancers. The objective of the review is to report and analyze the cases of biliary hamartomas which were associated with malignancy. We performed a structured systematic review of literature and identified 31 cases of biliary duct hamartomas associated with malignancy. The mean age at onset was 61 years{+/-}13 (min 19 to max 88) with the majority of the patients being male (64.5%). Of all cases, 41.9% reported symptoms (13/31 cases) with the most common symptom being abdominal pain (32.3%). Biopsies reported malignancy in 77.4% of cases (24/31 cases) with the most common reported associated malignancy being cholangiocarcinoma 54.8% (17/31). 93.3% of the cases underwent surgical intervention (28/30 cases). VMC are an important entity with malignancy potential which is under-reported. Presence of  red flag symptoms such as weight loss and obstructive jaundice in patients with diagnosed biliary hamartomas should prompt an evaluation for malignancy.",2021-04-22,10.1101/2021.04.17.21255674,medRxiv (Preprint)
"Concurrent circulation of dengue serotype 1, 2 and 3 among acute febrile patients in Cameroon","SIMO TCHETGNA, H. D.; SADO YOUSSEU, F.; Kamgang, B.; TEDJOU, A.; McCall, P.; Wondji, C. S.","Acute febrile patients presenting at hospitals in Douala, Cameroon between July and December 2020, were screened for dengue infections using RT-PCR on fragments of the 5 and 3 UTR genomic regions. In total, 12.8% (41/320) of cases examined were positive for dengue. Dengue virus 3 (DENV-3) was the most common serotype found (68.3%), followed by DENV-2 (19.5%) and DENV-1 (4.9%). Co-infections of DENV-3 and DENV-2 were found in 3 cases. Jaundice and headache were the most frequent clinical signs associated with infection and 176 cases (55%) were co-infections with malaria. Phylogenetic analysis of the envelope gene identified DENV-1 as belonging to genotype V, DENV-2 to genotype II and DENV-3 to genotype III. The simultaneous occurrence of three serotypes in Douala reveals dengue as a serious public health threat for Cameroon and highlights the need for further epidemiological studies in the major cities of this region.",2021-05-10,10.1101/2021.05.10.21256254,medRxiv (Preprint)
SIGMA METRICS ASSESSMENT AS QUALITY IMPROVEMENT METHODOLOGY IN A CLINICAL CHEMISTRY LABORATORY,"Garg, M.; Sharma, N.; Das, S.","BackgroundThe concept of sigma metrics & lean six sigma is well known in the field of healthcare. However not many labs utilize the six sigma metrics for maintenance of high quality laboratory performance. A minimum value of 3 {sigma} is desired in any clinical laboratory & values of {sigma}[&ge;] 6 are regarded as gold standard for obtaining high quality lab reports.

Aims &ObjectivesTo calculate bias, cv & sigma metrics from the IQC & EQC data in order to ascertain extent of quality management in our lab.

Materials &MethodsAn extensive study of sample processing and quality practices was carried out in the Central Laboratory of Department of Biochemistry; PGIMER &Dr. RML Hospital, New Delhi; from Feb 2020 to July 2020. The IQC used(both level I & level II) were from Biorad Laboratories India (lyphochek assayed chemistry control) & the EQC used was from Randox Laboratories, UK. All the controls were run on Beckman Coulter clinical chemistry analyser AU 680. Total 14 clinical parameters were analysed & subsequently; Mean, S.D., CV, bias & {sigma} were calculated through their respective formulas.

ResultsSigma level was more than 6 for both levels of IQC was observed for Amylase. It indicates world class performance. Total bilirubin, AST, Triglyceride & HDL depicted {sigma} values between 3.1 - 6 for both L1 & L2. Iron showed {sigma} value of 5.5 in L1 whereas it was 3.78 in L2.

ConclusionSigma metrics in clinical laboratory is an essential technique to ascertain poor assay performance, along with assessment of the efficiency of existing laboratory process.",2021-06-15,10.1101/2021.06.13.21258863,medRxiv (Preprint)
